year	age1	age2	age3	age4	age5	age6
1958	0.1	0.12	0.16	0.19	0.21	0.22
1959	0.09	0.12	0.17	0.19	0.2	0.22
1960	0.09	0.12	0.16	0.19	0.21	0.22
1961	0.1	0.13	0.16	0.19	0.21	0.22
1962	0.11	0.15	0.17	0.19	0.21	0.23
1963	0.1	0.14	0.19	0.21	0.22	0.24
1964	0.11	0.14	0.18	0.22	0.23	0.24
1965	0.1	0.14	0.18	0.21	0.23	0.25
1966	0.12	0.15	0.19	0.21	0.24	0.25
1967	0.12	0.16	0.19	0.22	0.24	0.26
1968	0.12	0.17	0.2	0.22	0.24	0.26
1969	0.12	0.16	0.2	0.22	0.24	0.25
1970	0.13	0.16	0.2	0.23	0.24	0.26
1971	0.12	0.17	0.2	0.23	0.25	0.26
1972	0.13	0.17	0.19	0.22	0.25	0.27
1973	0.13	0.17	0.21	0.22	0.25	0.27
1974	0.14	0.18	0.21	0.23	0.24	0.26
1975	0.14	0.19	0.22	0.24	0.25	0.27
1976	0.14	0.17	0.21	0.24	0.26	0.28
1977	0.13	0.19	0.21	0.22	0.24	0.27
1978	0.13	0.19	0.22	0.24	0.28	0.29
1979	0.13	0.17	0.21	0.23	0.25	0.28
1980	0.12	0.17	0.21	0.24	0.26	0.27
1981	0.12	0.17	0.21	0.25	0.27	0.29
1982	0.12	0.15	0.19	0.24	0.26	0.28
1983	0.11	0.15	0.2	0.22	0.28	0.31
1984	0.09	0.14	0.19	0.21	0.21	0.25
1985	0.1	0.14	0.17	0.2	0.23	0.26
1986	0.11	0.16	0.17	0.19	0.22	0.25
1987	0.1	0.14	0.19	0.19	0.2	0.25
1988	0.1	0.13	0.17	0.2	0.21	0.22
1989	0.11	0.13	0.15	0.17	0.19	0.21
1990	0.1	0.14	0.15	0.17	0.19	0.21
1991	0.09	0.13	0.17	0.18	0.19	0.22
1992	0.1	0.12	0.15	0.18	0.19	0.21
1993	0.09	0.13	0.16	0.18	0.2	0.21
1994	0.1	0.14	0.17	0.18	0.19	0.21
1995	0.09	0.13	0.15	0.18	0.19	0.21
1996	0.09	0.12	0.15	0.16	0.19	0.21
1997	0.09	0.12	0.14	0.16	0.17	0.2
1998	0.1	0.12	0.15	0.16	0.17	0.19
1999	0.09	0.12	0.15	0.17	0.18	0.19
2000	0.09	0.11	0.15	0.17	0.19	0.19
2001	0.08	0.11	0.14	0.16	0.18	0.19
2002	0.1	0.12	0.14	0.16	0.19	0.2
2003	0.09	0.1	0.13	0.15	0.17	0.19
2004	0.08	0.13	0.13	0.15	0.16	0.19
2005	0.08	0.1	0.14	0.15	0.16	0.17
2006	0.09	0.11	0.13	0.15	0.16	0.17
2007	0.07	0.11	0.12	0.14	0.17	0.16
2008	0.09	0.12	0.14	0.16	0.17	0.19
